Region,Station number,Latitude,Longitude,Date,,,UTC time,Solar time,Sampled depths
,,ºN,ºE,Day,Month,Year,h,h,m
NSO,3,-60.002,-46.088,10,January,2015,14.88,11.68,4
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,4
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,8
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,22
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,37
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,68
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,120
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,6
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,19
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,45
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,58
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,120
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,4
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,8
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,38
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,23
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,69
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,120
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,4
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,8
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,23
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,38
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,69
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,120
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,4
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,8
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,23
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,38
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,69
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,120
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,4
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,8
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,35
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,23
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,69
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,120
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,4
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,7
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,22
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,36
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,66
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,120
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,4
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,7
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,21
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,38
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,64
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,120
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,4
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,8
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,39
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,23
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,71
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,120
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,4
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,6
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,19
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,40
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,57
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,120
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,4
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,8
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,23
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,38
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,69
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,120
NSO,19,-60.611,-45.453,13,January,2015,18.53,15.33,4
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,4
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,8
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,20
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,38
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,60
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,120
NSO,21,-60.037,-45.405,14,January,2015,17.42,14.22,4
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,4
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,7
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,21
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,35
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,64
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,120
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,4
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,9
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,28
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,46
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,85
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,120
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,4
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,11
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,32
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,54
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,98
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,140
SSO,26,-61.195,-43.471,17,January,2015,17.42,14.31,4
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,4
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,29
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,10
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,49
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,90
SSO,27,-61.184,-43.576,18,January,2015,11.15,8.04,150
SSO,27,-61.146,-44.002,18,January,2015,17.52,14.41,4
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,4
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,10
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,27
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,44
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,70
SSO,30,-61.136,-43.543,19,January,2015,11.47,8.36,150
SSO,31,-61.138,-43.56,19,January,2015,15.6,12.49,4
SSO,31,-61.138,-43.56,19,January,2015,15.6,12.49,19
SSO,31,-61.138,-43.56,19,January,2015,15.6,12.49,27
SSO,31,-61.138,-43.56,19,January,2015,15.6,12.49,44
SSO,31,-61.138,-43.56,19,January,2015,15.6,12.49,60
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,4
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,10
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,30
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,50
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,75
SSO,32,-61.139,-43.542,19,January,2015,19.28,16.17,150
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,4
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,10
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,30
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,50
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,75
SSO,34,-61.134,-43.507,19,January,2015,23.53,20.42,150
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,4
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,10
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,30
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,40
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,75
SSO,35,-61.137,-43.552,20,January,2015,3.57,0.46,150
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,4
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,10
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,26
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,44
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,66
SSO,36,-61.153,-43.514,20,January,2015,7.6,4.49,150
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,4
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,38
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,10
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,51
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,93
SSO,38,-61.146,-43.535,20,January,2015,11.43,8.32,150
SSO,39,-61.142,-43.533,20,January,2015,15.52,12.41,4
SSO,39,-61.142,-43.533,20,January,2015,15.52,12.41,150
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,4
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,14
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,41
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,69
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,126
SSO,41,-61.156,-43.545,20,January,2015,19.63,16.52,150
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,4
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,13
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,21
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,38
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,57
NSG,43,-50.148,-39.519,24,January,2015,15.77,13.62,120
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,4
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,13
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,21
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,38
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,57
NSG,44,-50.154,-39.517,24,January,2015,19.45,17.3,120
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,4
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,13
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,21
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,38
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,57
NSG,45,-50.163,-39.495,25,January,2015,23.53,21.38,120
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,4
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,13
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,20
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,38
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,57
NSG,47,-50.157,-39.458,25,January,2015,3.73,1.58,120
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,4
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,13
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,20
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,38
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,57
NSG,48,-50.155,-39.491,25,January,2015,7.67,5.52,120
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,4
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,9
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,15
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,28
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,42
NSG,50,-50.168,-39.46,25,January,2015,11.6,9.45,120
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,4
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,11
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,18
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,32
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,48
NSG,52,-50.163,-39.45,25,January,2015,15.5,13.35,120
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,4
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,15
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,22
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,46
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,60
NSG,53,-50.168,-39.452,25,January,2015,19.53,17.38,120
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,4
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,15
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,25
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,40
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,65
NSG,54,-50.174,-39.456,25,January,2015,23.42,21.27,120
NSG,55,-50.208,-39.472,27,January,2015,11.1,8.95,4
NSG,55,-50.208,-39.472,27,January,2015,11.1,8.95,14
NSG,55,-50.208,-39.472,27,January,2015,11.1,8.95,44
NSG,55,-50.208,-39.472,27,January,2015,11.1,8.95,66
NSG,55,-50.208,-39.472,27,January,2015,11.1,8.95,120
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,4
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,14
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,24
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,44
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,55
NSG,56,-50.206,-39.491,27,January,2015,17.4,15.25,120
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,4
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,11
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,22
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,53
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,97
WA,58,-64.322,-64.532,2,February,2015,11.38,6.82,146
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,4
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,15
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,35
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,58
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,106
WA,59,-64.324,-64.519,2,February,2015,15.75,11.19,150
WA,60,-64.315,-64.489,2,February,2015,19.43,14.87,4
WA,60,-64.315,-64.489,2,February,2015,19.43,14.87,11
WA,60,-64.315,-64.489,3,February,2015,19.43,14.87,20
WA,60,-64.315,-64.489,3,February,2015,19.43,14.87,53
WA,60,-64.315,-64.489,3,February,2015,19.43,14.87,97
WA,60,-64.315,-64.489,3,February,2015,19.43,14.87,150
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,4
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,11
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,20
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,35
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,53
WA,62,-64.304,-64.496,3,February,2015,23.87,19.31,100
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,4
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,11
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,20
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,35
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,53
WA,63,-64.302,-64.536,3,February,2015,3.42,22.86*,100
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,4
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,11
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,22
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,53
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,97
WA,64,-64.296,-64.505,3,February,2015,7.62,3.06,100
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,4
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,11
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,20
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,31
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,57
WA,66,-64.288,-64.516,3,February,2015,11.58,7.02,100
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,4
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,12
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,22
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,33
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,60
WA,67,-64.29,-64.549,3,February,2015,15.45,10.89,100
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,4
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,13
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,22
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,36
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,66
WA,68,-64.271,-64.534,3,February,2015,19.4,14.84,100
,,,,,,,,,
